Score	Deviation	Certification	Comment
59	62	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
60	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
61	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
62	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
63	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
64	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
65	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
66	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
67	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
68	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
69	63	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
70	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
71	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
72	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
73	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
74	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
75	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
76	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
77	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
78	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
79	64	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
80	65	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
81	65	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
82	65	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
83	65	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
84	65	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
85	65	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
86	65	パワーカップル	パワーカップルです。この帯域の夫婦は“持続的成長力”が高いのが特徴。互いへの投資がさらなる飛躍を生みます。
87	65	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
88	65	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
89	65	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
90	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
91	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
92	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
93	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
94	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
95	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
96	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
97	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
98	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
99	66	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
100	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
101	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
102	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
103	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
104	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
105	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
106	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
107	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
108	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
109	67	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
110	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
111	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
112	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
113	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
114	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
115	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
116	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
117	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
118	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
119	68	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
120	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
121	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
122	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
123	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
124	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
125	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
126	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
127	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
128	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
129	69	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
130	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
131	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
132	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
133	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
134	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
135	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
136	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
137	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
138	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
139	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
140	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
141	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
142	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
143	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
144	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
145	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
146	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
147	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
148	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
149	70	パワーカップル	"実力派パワーカップル。収入バランス、業界構造ともに高水準で、
周囲から“理想の夫婦”と見られる層です。"
150	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
151	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
152	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
153	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
154	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
155	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
156	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
157	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
158	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
159	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
160	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
161	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
162	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
163	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
164	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
165	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
166	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
167	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
168	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
169	71	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
170	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
171	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
172	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
173	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
174	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
175	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
176	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
177	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
178	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
179	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
180	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
181	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
182	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
183	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
184	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
185	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
186	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
187	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
188	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
189	72	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
190	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
191	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
192	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
193	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
194	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
195	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
196	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
197	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
198	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
199	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
200	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
201	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
202	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
203	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
204	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
205	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
206	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
207	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
208	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
209	73	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
210	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
211	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
212	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
213	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
214	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
215	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
216	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
217	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
218	74	パワーカップル	"まさに“強い夫婦”。
どちらか一方に大きく依存せず、
お互いのキャリアが美しく補完しあうレベルです。"
